feature,routes,current_state,contract_status,mock_status,test_coverage,priority,gaps,owner,eta,api_hooks,auth_required,last_modified
general,_app|_document|/ai-breakdown|/api/ai/breakdown-task|/api/ai/coach|/api/ai/daily-plan|/api/ai/energy-insights|/api/ai/meeting-notes|/api/ai/parse-task|/api/auth/:...auth0|/api/auth/debug-callback|/api/auth/google/callback|/api/auth/google/test-oauth|/api/auth/test-config|/api/auth/test-login|/api/auth/token|/api/briefings/evening|/api/briefings/morning|/api/calendar/connect|/api/calendar/events|/calendar-sync|/compare|/gamification|/landing|/polish|/productivity|/smart-schedule|/voice-commands,Partial,Complete,High Risk,Partial,High,Mock data needs replacement,Senior Developer,2w,useEffect|useDown|fetch(|useEnter|useLeave,false,2025-10-15
analytics,/analytics,Mocked,Missing,High Risk,None,High,Data contract missing|Mock data needs replacement|Test coverage missing|API integration needed,Senior Developer,2w,,false,2025-10-14
settings,/api/briefings/settings|/settings,Mocked,Missing,High Risk,Partial,High,Data contract missing|Mock data needs replacement|API integration needed,Senior Developer,2w,,false,2025-10-14
,/beta|                className="inline-block w-full bg-gray-200 text-gray-700 font-medium py-3 px-6 rounded-xl hover:bg-gray-300 transition-colors"|              >|                Submit Another Application|/dashboard/observability|            className="mb-4 text-blue-600 hover:text-blue-700 dark:text-blue-400 flex items-center gap-2"|          >|            ← Back|/dashboard/quality|            className="mb-4 text-blue-600 hover:text-blue-700 dark:text-blue-400 flex items-center gap-2"|          >|            ← Back|/dashboard|                title="All Features (Cmd+K)"|                aria-label="Open All Features"|                style={{ |                  background: 'var(--gradient-brand)'|                  fontWeight: 'var(--font-weight-bold)'|                  boxShadow: 'var(--shadow-primary)'|                  padding: '0 var(--space-5)'|                }}|              >|                ✨ All Features|{|                  analytics.trackBriefingEvent('morning_brief_viewed');|                  generateMorningBrief();|                  // Trigger feedback collection for beta users|                  if (betaUserStatus?.isBetaUser) {|                    setTimeout(() => {|                      setCurrentFeedbackFeature('morning-brief');|                      setShowFeedbackCollector(true);|                    }|                  }|                }}|                title="Test Morning Brief"|                aria-label="Test Morning Brief"|                style={{ |                  background: 'linear-gradient(135deg|                  color: 'white'|                  border: 'none'|                  fontWeight: '600'|                }}|              >|                🌅 Morning|{|                  console.log('🌙 Evening Brief clicked!');|                  analytics.trackBriefingEvent('evening_brief_viewed');|                  generateEveningBrief();|                  // Trigger feedback collection for beta users|                  if (betaUserStatus?.isBetaUser) {|                    setTimeout(() => {|                      setCurrentFeedbackFeature('evening-brief');|                      setShowFeedbackCollector(true);|                    }|                  }|                }}|                title="Test Evening Brief"|                aria-label="Test Evening Brief"|                style={{ |                  background: 'linear-gradient(135deg|                  color: 'white'|                  border: 'none'|                  fontWeight: '600'|                  minWidth: '100px'|                  height: '40px'|                  zIndex: 9999|                  position: 'relative'|                }}|              >|                🌙 Evening|{|                  console.log('🚀 Simple test button clicked!');|                  alert('Briefing system is working! Check console for debug info.');|                }}|                style={{ |                  background: 'red'|                  color: 'white'|                  border: 'none'|                  padding: '10px 20px'|                  borderRadius: '5px'|                  fontWeight: 'bold'|                  fontSize: '14px'|                  zIndex: 9999|                  position: 'relative'|                }}|              >|                🚀 TEST BRIEFING|{|                  analytics.trackPageView('Analytics Dashboard');|                  setShowAnalyticsDashboard(true);|                }}|                title="Analytics Dashboard"|                aria-label="Analytics Dashboard"|                style={{ |                  background: 'linear-gradient(135deg|                  color: 'white'|                  border: 'none'|                  fontWeight: '600'|                  minWidth: '140px'|                  height: '40px'|                  zIndex: 9999|                  position: 'relative'|                }}|              >|                📊 Analytics|/landing-v2|              style={{|                background: 'transparent'|                color: 'var(--color-primary-600)'|                padding: '16px 48px'|                borderRadius: 'var(--radius-xl)'|                border: '2px solid var(--color-primary-500)'|                fontWeight: 'var(--font-bold)'|                fontSize: 'var(--text-lg)'|                cursor: 'pointer'|                transition: 'var(--transition-all)'|              }}|            >|              See How It Works,Partial,Missing,High Risk,None,High,Data contract missing|Mock data needs replacement|Test coverage missing,Senior Developer,2w,useState|useUser|useRouter|useAuthenticatedFetch|useNotifications|useAchievements|useKeyboardShortcuts|useBriefingManager|useEffect|useCallback|useMemo,false,
integrations,/integrations,Mocked,Missing,High Risk,None,High,Data contract missing|Mock data needs replacement|Test coverage missing|API integration needed,Senior Developer,2w,,false,2025-10-14
collaboration,/team-collaboration|/team,Mocked,Missing,High Risk,None,High,Data contract missing|Mock data needs replacement|Test coverage missing|API integration needed,Senior Developer,2w,,false,2025-10-14
